time,x,y,speed
1732740899.8273168,109.31648254394531,-57.88300323486328,0.0
1732740899.8373296,109.31648254394531,-57.88300323486328,0.0
1732740899.847334,109.31648254394531,-57.88300323486328,0.0
1732740899.857331,109.31648254394531,-57.88300323486328,0.0
1732740899.867319,109.31648254394531,-57.88300323486328,0.0
1732740899.8773406,109.31648254394531,-57.88300323486328,0.0
1732740899.887361,109.31648254394531,-57.88300323486328,0.0
1732740899.897286,109.31648254394531,-57.88300323486328,0.0
1732740899.9073403,109.31648254394531,-57.88300323486328,0.0
1732740899.9173605,109.31648254394531,-57.88300323486328,0.0
1732740899.9273052,109.31648254394531,-57.88300323486328,0.0
1732740899.9373262,109.31648254394531,-57.88300323486328,0.0
1732740899.9473412,109.31648254394531,-57.88300323486328,0.0
1732740899.9573312,109.31648254394531,-57.88300323486328,0.0
1732740899.9673886,109.31648254394531,-57.88300323486328,0.0
1732740899.9772756,109.31648254394531,-57.88300323486328,0.0
1732740899.987368,109.31648254394531,-57.88300323486328,0.0
1732740899.9972537,109.31648254394531,-57.88300323486328,0.0
1732740900.0072348,109.31648254394531,-57.88300323486328,0.0
1732740900.0173078,109.31648254394531,-57.88300323486328,0.0
1732740900.027241,109.31648254394531,-57.88300323486328,0.0
1732740900.0373716,109.31648254394531,-57.88300323486328,0.0
1732740900.047298,109.31648254394531,-57.88300323486328,0.0
1732740900.0573003,109.31648254394531,-57.88300323486328,0.0
1732740900.0673182,109.31648254394531,-57.88300323486328,0.0
1732740900.077322,109.31648254394531,-57.88300323486328,0.0
1732740900.0873027,109.31648254394531,-57.88300323486328,0.0
1732740900.0972958,109.31648254394531,-57.88300323486328,0.0
1732740900.1072898,109.31648254394531,-57.88300323486328,0.0
1732740900.1173146,109.31648254394531,-57.88300323486328,0.0
1732740900.1273208,109.31648254394531,-57.88300323486328,0.0
1732740900.1373332,109.31648254394531,-57.88300323486328,0.0
1732740900.1473396,109.31648254394531,-57.88300323486328,0.0
1732740900.1573017,109.31648254394531,-57.88300323486328,0.0
1732740900.1673007,109.31648254394531,-57.88300323486328,0.0
1732740900.177291,109.31648254394531,-57.88300323486328,0.0
1732740900.1873205,109.31648254394531,-57.88300323486328,0.0
1732740900.1973288,109.31648254394531,-57.88300323486328,0.0
1732740900.2073293,109.31648254394531,-57.88300323486328,0.0
1732740900.217407,109.31648254394531,-57.88300323486328,0.0
