Time,CTE
1733242335.5552282,-0.08490802675585286
1733242335.6563368,-0.08172240802675589
1733242335.7511518,-0.07909698996655522
1733242335.8488371,-0.07616220735785958
1733242335.9468882,-0.06805183946488298
1733242336.0572639,-0.05813545150501667
1733242336.159999,-0.04464882943143806
1733242336.2707107,-0.03170568561872912
1733242336.3720758,-0.017366220735786017
1733242336.4722123,-0.00658862876254176
1733242336.5694995,-0.0008193979933110995
1733242336.6607218,0.004071906354514994
1733242336.7509112,0.009230769230769199
1733242336.8353198,0.008336120401337722
1733242336.920342,0.005677257525083661
1733242337.0040214,0.0038963210702341656
1733242337.0970972,0.0007943143812708797
1733242337.1785161,-0.002575250836120375
1733242337.2719293,-0.007784280936454877
1733242337.3603797,-0.01258361204013383
1733242337.4490082,-0.01202341137123753
1733242337.5298026,-0.01044314381270908
1733242337.614049,-0.006789297658862808
1733242337.702892,-0.006663879598662277
1733242337.7851617,-0.008369565217391255
1733242337.872272,-0.00823578595317727
1733242337.960001,-0.008804347826087024
1733242338.0434713,-0.010994983277591928
1733242338.1284888,-0.013102006688963143
1733242338.2254195,-0.017516722408026767
1733242338.3100317,-0.023336120401337722
1733242338.3930836,-0.03131270903010033
1733242338.4839208,-0.042056856187290916
1733242338.5645158,-0.039356187290969874
1733242338.6513772,-0.03492474916387962
1733242338.7374845,-0.03209030100334445
1733242338.8268044,-0.02717391304347828
1733242338.9210858,-0.02294314381270908
1733242339.0016024,-0.019949832775919704
1733242339.0886056,-0.015367892976588565
1733242339.1675518,-0.011262541806020038
1733242339.2548718,-0.0054933110367892364
1733242339.3390763,-0.0009949832775919276
1733242339.4209318,0.005376254180602018
1733242339.5063422,0.012240802675585343
1733242339.5869117,0.019724080267558577
1733242339.6690178,0.02964882943143806
1733242339.7603543,0.04063545150501668
1733242339.8405936,0.04986622073578602
1733242339.9291155,0.05828595317725757
1733242340.0123808,0.0642809364548495
1733242340.111237,0.06619565217391297
1733242340.204201,0.06257525083612038
1733242340.3077102,0.05828595317725757
1733242340.4077861,0.026254180602006728
1733242340.507465,0.0027508361204013456
1733242340.6083965,-0.011270903010033494
1733242340.7039907,-0.019013377926421385
1733242340.786338,-0.024698996655518356
1733242340.869442,-0.03131270903010033
1733242340.9582157,-0.042140468227424746
1733242341.042628,-0.05292642140468232
1733242341.1256125,-0.05016722408026752
1733242341.2083998,-0.04438127090301009
1733242341.2961648,-0.03705685618729092
1733242341.3905878,-0.02773411371237458
1733242341.4910305,-0.016739130434782652
1733242341.5823371,-0.0072575250836121085
1733242341.67084,0.0008444816053511772
1733242341.7537055,0.012006688963210763
1733242341.8377366,0.024372909698996637
1733242341.9241018,0.031153846153846133
1733242342.0101924,0.039306020066889574
1733242342.0928214,0.04944816053511701
1733242342.1755817,0.0631103678929766
1733242342.2643354,0.08413043478260875
1733242342.347423,0.06557692307692306
1733242342.4428983,0.032692307692307736
1733242342.5432975,0.0024080267558528588
1733242342.6420143,-0.025944816053511774
1733242342.7425246,-0.04512541806020067
1733242342.838281,-0.059272575250836186
1733242342.918926,-0.07570234113712374
1733242343.0101967,-0.07802675585284277
1733242343.0963056,-0.07496655518394647
1733242343.1896765,-0.07002508361204007
1733242343.2914348,-0.06334448160535118
1733242343.3892636,-0.05581103678929764
1733242343.4887543,-0.04634615384615387
1733242343.5908325,-0.035309364548494954
1733242343.6861916,-0.024230769230769198
1733242343.7897475,-0.01176421404682273
1733242343.8907466,-0.002215719063545123
1733242343.9785051,0.0062959866220735706
1733242344.0676856,0.016371237458193945
1733242344.151067,0.025827759197324412
1733242344.2350829,0.039331103678929794
1733242344.3175514,0.05272575250836127
1733242344.4012125,0.06878762541806026
1733242344.4851346,0.0798996655518394
1733242344.5704439,0.06196488294314378
1733242344.6577263,0.03790969899665555
1733242344.759207,0.014314381270903027
1733242344.85194,-0.009214046822742432
1733242344.942147,-0.027399665551839404
1733242345.0200222,-0.044949832775919706
1733242345.1138625,-0.06522575250836127
1733242345.1955614,-0.07612876254180606
1733242345.2791555,-0.07634615384615387
1733242345.37278,-0.07532608695652172
1733242345.4687767,-0.07231605351170572
