time,x,y,speed
1732131907.7040462,-41.19901657104492,-145.11502075195312,0.0
1732131907.7540312,-41.19901657104492,-145.11502075195312,0.0
1732131907.8040016,-41.19901657104492,-145.11502075195312,0.0
1732131907.854028,-41.19901657104492,-145.11502075195312,0.0
1732131907.9040217,-41.198997497558594,-145.11502075195312,-0.00012363666610326618
1732131907.9540079,-41.19899368286133,-145.11502075195312,-0.00026674376567825675
1732131908.0040298,-41.19899368286133,-145.11502075195312,-0.00026674376567825675
1732131908.0540447,-41.19898986816406,-145.11502075195312,-0.00034020189195871353
1732131908.1040173,-41.19898223876953,-145.11502075195312,-0.00035750633105635643
1732131908.1540198,-41.19898223876953,-145.11502075195312,-0.00035750633105635643
1732131908.2040436,-41.198978424072266,-145.11502075195312,-0.0003337383968755603
1732131908.253974,-41.198974609375,-145.11502075195312,-0.00028354450478218496
1732131908.3040512,-41.19896697998047,-145.11502075195312,-0.0002198332076659426
1732131908.3541076,-41.19896697998047,-145.11502075195312,-0.0002198332076659426
1732131908.4041212,-41.1989631652832,-145.11502075195312,-0.00015306216664612293
1732131908.4540741,-41.1989631652832,-145.11502075195312,3.6588276088878047e-06
1732131908.5041,-41.1989631652832,-145.11502075195312,3.6588276088878047e-06
1732131908.55412,-41.1989631652832,-145.11502075195312,1.5822455679881386e-05
1732131908.60404,-41.1989631652832,-145.11502075195312,2.2819198420620523e-05
1732131908.6540043,-41.1989631652832,-145.11502075195312,2.5457762603764422e-05
1732131908.704061,-41.1989631652832,-145.11502075195312,2.5457762603764422e-05
1732131908.7540917,-41.1989631652832,-145.11502075195312,2.4691080398042686e-05
1732131908.8041074,-41.19895935058594,-145.11502075195312,2.167961974919308e-05
1732131908.8540876,-41.19895935058594,-145.11502075195312,2.167961974919308e-05
1732131908.9040084,-41.19895935058594,-145.11502075195312,1.734587385726627e-05
1732131908.9539812,-41.19895935058594,-145.11502075195312,1.2525828424259089e-05
1732131909.003954,-41.19895935058594,-145.11502075195312,1.286477413486864e-07
1732131909.0540054,-41.19895935058594,-145.11502075195312,1.286477413486864e-07
1732131909.1040308,-41.19895935058594,-145.11502075195312,-1.0974630413329578e-06
1732131909.154013,-41.19895935058594,-145.11502075195312,-1.8459213606547564e-06
1732131909.2039876,-41.19895935058594,-145.11502075195312,-2.1839214241481386e-06
1732131909.254015,-41.19895935058594,-145.11502075195312,-2.1839214241481386e-06
1732131909.3040235,-41.19895935058594,-145.11502075195312,-2.2079796053731116e-06
1732131909.3540163,-41.19895935058594,-145.11502075195312,-1.9911929030058673e-06
1732131909.40448,-41.19895935058594,-145.11502075195312,-1.6480536260132794e-06
1732131909.4540224,-41.19895935058594,-145.11502075195312,-1.6480536260132794e-06
1732131909.504069,-41.19895935058594,-145.11502075195312,-1.2476355095714098e-06
1732131909.5540493,-41.19895935058594,-145.11502075195312,-8.434194569417741e-07
1732131909.6041317,-41.19895935058594,-145.11502075195312,-8.434194569417741e-07
1732131909.6540318,-41.19895935058594,-145.11502075195312,2.7356424681102e-08
1732131909.7040462,-41.19895935058594,-145.11502075195312,8.447144494994063e-08
1732131909.7540097,-41.19895935058594,-145.11502075195312,1.1321205306558113e-07
1732131909.8040278,-41.19895935058594,-145.11502075195312,1.1321205306558113e-07
1732131909.8540547,-41.19895935058594,-145.11502075195312,1.256480572919827e-07
1732131909.9040816,-41.19895935058594,-145.11502075195312,1.2130247739605693e-07
1732131909.9539912,-41.19895935058594,-145.11502075195312,1.2130247739605693e-07
1732131910.0040994,-41.19895935058594,-145.11502075195312,9.2175255872462e-08
1732131910.0540895,-41.19895935058594,-145.11502075195312,5.432591621001848e-08
1732131910.1040149,-41.19895935058594,-145.11502075195312,5.3430259328024476e-08
1732131910.1540842,-41.19895935058594,-145.11502075195312,5.3430259328024476e-08
1732131910.2041214,-41.19895935058594,-145.11502075195312,1.9434418518926577e-08
1732131910.2540975,-41.19895935058594,-145.11502075195312,2.0195709993231503e-08
1732131910.3041031,-41.19895935058594,-145.11502075195312,2.0195709993231503e-08
1732131910.3540847,-41.1964111328125,-145.1012420654297,0.506191074848175
1732131910.404078,-41.18999481201172,-145.06393432617188,0.863304078578949
1732131910.4539757,-41.181453704833984,-145.01390075683594,1.0629310607910156
1732131910.5040054,-41.181453704833984,-145.01390075683594,1.0629310607910156
1732131910.5540428,-41.175106048583984,-144.9566192626953,1.180553674697876
1732131910.6040998,-41.17524719238281,-144.89622497558594,1.2125574350357056
1732131910.6541412,-41.17524719238281,-144.89622497558594,1.2125574350357056
1732131910.7041476,-41.17980194091797,-144.8361358642578,1.191246509552002
