time,x,y,speed
1731358827.595699,-41.19901657104492,-145.11502075195312,0.0
1731358827.6056614,-41.19901657104492,-145.11502075195312,0.0
1731358827.615715,-41.19901657104492,-145.11502075195312,0.0
1731358827.6257067,-41.19901657104492,-145.11502075195312,0.0
1731358827.6357424,-41.19901657104492,-145.11502075195312,0.0
1731358827.6457114,-41.19901657104492,-145.11502075195312,0.0
1731358827.65572,-41.19901657104492,-145.11502075195312,0.0
1731358827.6656883,-41.19901657104492,-145.11502075195312,0.0
1731358827.6757002,-41.19901657104492,-145.11502075195312,0.0
1731358827.685691,-41.19901657104492,-145.11502075195312,0.0
1731358827.6957207,-41.19901657104492,-145.11502075195312,0.0
1731358827.7057014,-41.19901657104492,-145.11502075195312,0.0
1731358827.7157474,-41.19901657104492,-145.11502075195312,0.0
1731358827.7256765,-41.19901657104492,-145.11502075195312,0.0
1731358827.7357213,-41.19901657104492,-145.11502075195312,0.0
1731358827.7456756,-41.19901657104492,-145.11502075195312,0.0
1731358827.755639,-41.19901657104492,-145.11502075195312,0.0
1731358827.76569,-41.19901657104492,-145.11502075195312,0.0
1731358827.7756898,-41.19901657104492,-145.11502075195312,0.0
1731358827.785725,-41.19901657104492,-145.11502075195312,0.0
1731358827.795708,-41.19901657104492,-145.11502075195312,0.0
1731358827.8057132,-41.19901657104492,-145.11502075195312,0.0
1731358827.8156226,-41.19901657104492,-145.11502075195312,0.0
1731358827.8256774,-41.19901657104492,-145.11502075195312,0.0
1731358827.8356826,-41.19901657104492,-145.11502075195312,0.0
1731358827.845705,-41.19901657104492,-145.11502075195312,0.0
1731358827.855687,-41.19901657104492,-145.11502075195312,0.0
1731358827.8657017,-41.19901657104492,-145.11502075195312,0.0
1731358827.8757026,-41.19901657104492,-145.11502075195312,0.0
1731358827.8858573,-41.19901657104492,-145.11502075195312,0.0
1731358827.895701,-41.19901657104492,-145.11502075195312,0.0
1731358827.905684,-41.19901657104492,-145.11502075195312,0.0
1731358827.91571,-41.19901657104492,-145.11502075195312,0.0
1731358827.9257162,-41.19901657104492,-145.11502075195312,0.0
1731358827.9357226,-41.19901657104492,-145.11502075195312,0.0
1731358827.9457278,-41.19901657104492,-145.11502075195312,0.0
1731358827.9558399,-41.19901657104492,-145.11502075195312,0.0
1731358827.9657147,-41.19901657104492,-145.11502075195312,0.0
1731358827.9757128,-41.19901657104492,-145.11502075195312,0.0
1731358827.9857008,-41.19901657104492,-145.11502075195312,0.0
1731358827.9957008,-41.19901657104492,-145.11502075195312,0.0
1731358828.0057049,-41.19901657104492,-145.11502075195312,0.0
1731358828.0157015,-41.19901657104492,-145.11502075195312,0.0
1731358828.0256186,-41.198997497558594,-145.11502075195312,-0.00012341851834207773
1731358828.035702,-41.198997497558594,-145.11502075195312,-0.00012341851834207773
1731358828.0456812,-41.198997497558594,-145.11502075195312,-0.00012341851834207773
1731358828.0556743,-41.198997497558594,-145.11502075195312,-0.00012341851834207773
1731358828.0657012,-41.198997497558594,-145.11502075195312,-0.00012341851834207773
1731358828.0756514,-41.198997497558594,-145.11502075195312,-0.00012341851834207773
1731358828.085726,-41.198997497558594,-145.11502075195312,-0.00012341851834207773
1731358828.0956292,-41.19899368286133,-145.11502075195312,-0.00026625522878021
1731358828.1057162,-41.19899368286133,-145.11502075195312,-0.00026625522878021
1731358828.1157045,-41.19899368286133,-145.11502075195312,-0.00026625522878021
1731358828.125718,-41.19899368286133,-145.11502075195312,-0.00026625522878021
1731358828.1356661,-41.19899368286133,-145.11502075195312,-0.00026625522878021
1731358828.1457791,-41.19899368286133,-145.11502075195312,-0.00026625522878021
1731358828.155758,-41.19899368286133,-145.11502075195312,-0.00026625522878021
1731358828.165665,-41.19898986816406,-145.11502075195312,-0.00033977566636167467
1731358828.1756942,-41.19898986816406,-145.11502075195312,-0.00033977566636167467
1731358828.1857162,-41.19898986816406,-145.11502075195312,-0.00033977566636167467
1731358828.1957521,-41.19898986816406,-145.11502075195312,-0.00033977566636167467
1731358828.2057045,-41.19898986816406,-145.11502075195312,-0.00033977566636167467
1731358828.2156222,-41.19898986816406,-145.11502075195312,-0.00033977566636167467
1731358828.2257938,-41.19898986816406,-145.11502075195312,-0.00033977566636167467
1731358828.235697,-41.19898223876953,-145.11502075195312,-0.00035717140417546034
1731358828.2456613,-41.19898223876953,-145.11502075195312,-0.00035717140417546034
1731358828.2557125,-41.19898223876953,-145.11502075195312,-0.00035717140417546034
1731358828.2657242,-41.19898223876953,-145.11502075195312,-0.00035717140417546034
1731358828.275667,-41.19898223876953,-145.11502075195312,-0.00035717140417546034
1731358828.2857285,-41.19898223876953,-145.11502075195312,-0.00035717140417546034
1731358828.2957218,-41.19898223876953,-145.11502075195312,-0.00035717140417546034
1731358828.3056567,-41.19898223876953,-145.11502075195312,-0.00035717140417546034
1731358828.3157504,-41.198978424072266,-145.11502075195312,-0.0003334354260005057
1731358828.3256876,-41.198978424072266,-145.11502075195312,-0.0003334354260005057
1731358828.335705,-41.198978424072266,-145.11502075195312,-0.0003334354260005057
1731358828.3456867,-41.198978424072266,-145.11502075195312,-0.0003334354260005057
1731358828.355677,-41.198978424072266,-145.11502075195312,-0.0003334354260005057
1731358828.3656766,-41.198978424072266,-145.11502075195312,-0.0003334354260005057
1731358828.3756442,-41.198978424072266,-145.11502075195312,-0.0003334354260005057
1731358828.3856795,-41.198974609375,-145.11502075195312,-0.0002832301543094218
1731358828.3957064,-41.198974609375,-145.11502075195312,-0.0002832301543094218
1731358828.405673,-41.198974609375,-145.11502075195312,-0.0002832301543094218
